CustomerID,Recency,Frequency,Monetary,Monetary_log,Frequency_log,Recency_log,Cluster
12346.0,326,1,77183.6,11.253955234248428,0.6931471805599453,5.7899601708972535,1
12347.0,2,7,4310.0,8.368925174747135,2.0794415416798357,1.0986122886681098,3
12348.0,75,4,1797.24,7.494563687769957,1.6094379124341003,4.330733340286331,1
12349.0,19,1,1757.55,7.472244884833674,0.6931471805599453,2.995732273553991,1
12350.0,310,1,334.4,5.815323849389109,0.6931471805599453,5.739792912179234,2
12352.0,36,8,2506.04,7.826858053356098,2.1972245773362196,3.6109179126442243,1
12353.0,204,1,89.0,4.499809670330265,0.6931471805599453,5.3230099791384085,2
12354.0,232,1,1079.4,6.985086621918461,0.6931471805599453,5.4510384535657,2
12355.0,214,1,459.4,6.132095676847728,0.6931471805599453,5.3706380281276624,2
12356.0,23,3,2811.43,7.941804157314053,1.3862943611198906,3.1780538303479458,1
12357.0,33,1,6207.67,8.733701981297274,0.6931471805599453,3.5263605246161616,1
12358.0,2,2,1168.06,7.063955286074528,1.0986122886681098,1.0986122886681098,3
12359.0,58,4,6372.58,8.759916600117213,1.6094379124341003,4.07753744390572,1
12360.0,52,3,2662.06,7.887231116540211,1.3862943611198906,3.970291913552122,1
12361.0,287,1,189.9,5.251749730731702,0.6931471805599453,5.662960480135946,2
12362.0,3,10,5226.23,8.56163678004062,2.3978952727983707,1.3862943611198906,3
12363.0,110,2,552.0,6.315358001522335,1.0986122886681098,4.709530201312334,2
12364.0,8,4,1313.1,7.180907299649593,1.6094379124341003,2.1972245773362196,3
12365.0,291,2,641.38,6.465180028897591,1.0986122886681098,5.676753802268282,2
12367.0,4,1,168.9,5.135210028677887,0.6931471805599453,1.6094379124341003,0
12370.0,51,4,3545.69,8.173770053153254,1.6094379124341003,3.9512437185814275,1
12371.0,45,2,1887.96,7.543781692052325,1.0986122886681098,3.828641396489095,1
12372.0,72,3,1298.04,7.169380809114136,1.3862943611198906,4.290459441148391,1
12373.0,311,1,364.6,5.901539839579995,0.6931471805599453,5.7430031878094825,2
12374.0,25,1,742.9300000000001,6.6119469443852195,0.6931471805599453,3.258096538021482,0
12375.0,11,2,457.5,6.127960291696519,1.0986122886681098,2.4849066497880004,0
12377.0,315,2,1628.12,7.395795270713971,1.0986122886681098,5.755742213586912,1
12378.0,130,1,4008.62,8.29645175271804,0.6931471805599453,4.875197323201151,1
12379.0,82,2,852.24,6.749040867823617,1.0986122886681098,4.418840607796598,1
12380.0,22,4,2724.81,7.910520910634419,1.6094379124341003,3.1354942159291497,1
12381.0,5,5,1845.31,7.520944331624911,1.791759469228055,1.791759469228055,3
12383.0,185,5,1850.56,7.523783805985769,1.791759469228055,5.225746673713202,1
12384.0,29,2,585.27,6.373780434317173,1.0986122886681098,3.4011973816621555,0
12386.0,338,2,401.9,5.998688392197302,1.0986122886681098,5.82600010738045,2
12388.0,16,6,2780.66,7.930803150780256,1.9459101490553132,2.833213344056216,3
